id,akh_score,akh_logit_score,neg_sac_score,qurd_score
0,0.29387754,0.81051955,0.85062656,0.56021995
1,0.05306122,0.57913733,0.62077487,0.32442679
2,0.39183673,0.89929119,0.91548181,0.64880208
3,0.2489796,0.81757087,0.83477116,0.53671529
4,1.0,0.99999982,0.99999979,0.9999999
5,0.43673471,0.91473627,0.91904077,0.67659639
6,0.35918367,0.89772901,0.91271299,0.63145314
7,0.08979592,0.70462435,0.69833598,0.39595246
8,0.8897959,0.99104244,0.99415025,0.94104073
9,0.45306122,0.91005349,0.92334735,0.68421613
10,0.08163265,0.59973151,0.64523898,0.34978358
11,0.20408164,0.82388812,0.85102418,0.51941209
12,0.22040816,0.77568808,0.80356073,0.50362265
13,0.28979591,0.85926482,0.88011608,0.57870061
14,0.91020405,0.99531978,0.99693555,0.95308507
15,0.30204082,0.86223808,0.8843942,0.58657067
16,0.37551022,0.88657236,0.91057754,0.63584232
17,0.33061224,0.83787316,0.82926905,0.58252188
18,0.13877551,0.7077803,0.72706197,0.42713424
19,0.40408164,0.92195958,0.93549398,0.66572749
20,0.06122449,0.68956222,0.68130003,0.37374092
21,0.62040818,0.97330299,0.97164029,0.79652304
22,0.61632651,0.9679555,0.96817198,0.7921843
23,0.3877551,0.89810851,0.9222928,0.64776866
24,0.55102038,0.95174408,0.95386249,0.75180591
25,0.50612247,0.93708128,0.93637565,0.72146075
26,0.5346939,0.94060862,0.93715897,0.73696133
27,0.33877552,0.8269065,0.86862662,0.59118503
28,0.66938776,0.97150463,0.97074479,0.82029423
29,0.4612245,0.93171284,0.92297363,0.69472083
30,0.40000001,0.90111235,0.91392148,0.653118
31,0.33877552,0.88601404,0.90326503,0.61584498
32,0.39183673,0.86250529,0.87658983,0.62998792
33,0.2489796,0.83106646,0.85022029,0.5438538
34,0.52653062,0.95375037,0.95446816,0.74028406
35,0.87346941,0.99478859,0.99322635,0.93381655
36,0.26530612,0.8039881,0.83843377,0.54153624
37,0.27346939,0.82970858,0.85058129,0.55576352
38,0.37551022,0.9000513,0.91218895,0.64020829
39,0.29387754,0.86074862,0.87492633,0.58014862
40,1.0,0.99999988,0.99999964,0.99999989
41,0.33061224,0.88433185,0.89931986,0.61046965
42,0.34285715,0.9075247,0.92536557,0.6287591
43,0.42040816,0.90365192,0.92606249,0.66651216
44,0.36734694,0.86323062,0.89297378,0.62123741
