id,akh_score,akh_logit_score,neg_sac_score,qurd_score
0,0.29387754,0.81051955,0.85062656,0.56021995
6,0.35918367,0.89772901,0.91271299,0.63145314
12,0.22040816,0.77568808,0.80356073,0.50362265
18,0.13877551,0.70778030,0.72706197,0.42713424
24,0.55102038,0.95174408,0.95386249,0.75180591
30,0.40000001,0.90111235,0.91392148,0.65311800
36,0.26530612,0.80398810,0.83843377,0.54153624
42,0.34285715,0.90752470,0.92536557,0.62875910
48,0.31428573,0.85810789,0.88399440,0.59137411
54,0.84897959,0.99684414,0.99674401,0.92289184
60,0.11020408,0.69790709,0.71700814,0.40787579
66,0.39183673,0.89403602,0.91198537,0.64652625
72,1.00000000,0.99999991,0.99999970,0.99999991
78,0.91428572,0.99820670,0.99753019,0.95611091
84,0.08979592,0.69918472,0.71835545,0.39832446
90,0.57959181,0.95994648,0.96047607,0.76987506
96,0.62448978,0.97140688,0.97321171,0.79830930
102,0.61632651,0.96138149,0.95986226,0.78855016
108,0.61632651,0.96286133,0.96294859,0.78961137
114,0.57959181,0.96814990,0.96639633,0.77352014
120,0.07755102,0.59066217,0.64331765,0.34463769
126,0.09387755,0.63358971,0.68739268,0.37449423
132,0.35102040,0.86414677,0.88773423,0.61230108
138,1.00000000,0.99999991,0.99999970,0.99999991
144,0.11020408,0.69188750,0.69920458,0.40250920
150,0.20000000,0.76011616,0.79473996,0.48698284
156,0.47755101,0.92205405,0.93567786,0.70252729
162,0.36326531,0.89525542,0.90516680,0.63124264
168,0.92653060,0.99814445,0.99746037,0.96220071
174,0.78367347,0.99239066,0.99268249,0.88809043
180,0.36734694,0.88990581,0.90510911,0.63166704
186,0.10204082,0.70437635,0.70451653,0.40323662
192,0.38367346,0.90036440,0.91330346,0.64460674
198,0.89795917,0.99621662,0.99459073,0.94676272
204,0.15510204,0.79998401,0.81555113,0.48065645
210,0.52244896,0.95419100,0.95475635,0.73843305
216,0.37959182,0.89818513,0.91291773,0.64183500
222,0.18775511,0.80020511,0.81592497,0.49712408
228,0.04897959,0.55154153,0.59231237,0.30841473
234,1.00000000,0.99999991,0.99999964,0.99999990
240,0.29795918,0.83060014,0.86431593,0.57102282
246,0.29795918,0.88386691,0.89968580,0.59407682
252,0.08571429,0.68418109,0.68721358,0.38555419
258,0.37142858,0.86395887,0.88536707,0.62197536
264,0.37959182,0.86025628,0.88185298,0.62424339
270,0.30612245,0.86469775,0.88299027,0.58906861
276,0.76326531,0.98770791,0.98820168,0.87558537
282,0.35102040,0.86135492,0.87738279,0.60939323
288,0.40000001,0.90187252,0.91514492,0.65359074
294,1.00000000,0.99999988,0.99999970,0.99999990
300,0.87346941,0.99657217,0.99632972,0.93497230
306,0.50612247,0.93190333,0.93934396,0.72050103
312,0.35918367,0.86037090,0.88399369,0.61450184
318,0.89387757,0.99379042,0.99303430,0.94368277
324,0.22040816,0.80590513,0.81452790,0.51488120
330,0.02448980,0.54889657,0.61273015,0.29945990
336,0.26530612,0.83629906,0.86534387,0.55661155
342,0.28163266,0.81712133,0.83721003,0.55339473
348,0.84489799,0.98860192,0.98667488,0.91636454
354,0.46530613,0.91669592,0.93533447,0.69472874
